Diseases,Temperature,Weather,Region_Type,Air_Quality,Water_Quality,Humidity,time_delay,Risk_percent
Gastroenteritis,3,20,1,3,1,3,29,40
Gastroenteritis,1,29,5,1,3,1,28,26
Gastroenteritis,3,27,15,2,2,3,30,34
Gastroenteritis,2,29,17,1,3,1,29,28
Bronchial Asthma,1,27,1,2,1,3,30,36
Bronchial Asthma,2,26,8,1,3,2,29,28
Bronchial Asthma,3,20,12,2,2,3,30,34
Bronchial Asthma,2,21,9,3,1,1,29,30
Bronchial Asthma,1,22,15,2,2,2,28,24
Bronchial Asthma,3,24,19,3,1,3,29,40
Bronchial Asthma,1,25,18,1,3,2,30,26
Bronchial Asthma,3,28,4,2,2,1,29,29
Bronchial Asthma,1,21,19,1,1,3,28,43
Bronchial Asthma,3,30,13,3,3,2,30,24
Hypertension ,1,24,3,1,1,3,29,43
Hypertension ,3,25,12,2,2,2,28,29
Hypertension ,2,24,3,1,1,3,30,48
Hypertension ,1,27,12,2,2,2,29,24
Hypertension ,3,29,20,3,1,3,28,40
Hypertension ,1,30,11,1,3,2,29,26
Hypertension ,2,24,8,2,1,1,30,33
Hypertension ,3,21,7,1,2,2,28,34
Hypertension ,1,26,8,3,3,1,29,20
Hypertension ,2,25,13,1,2,2,28,31
Migraine,1,30,9,3,1,3,29,33
Migraine,2,24,15,2,3,2,30,24
Migraine,1,26,16,3,1,3,28,33
Migraine,2,30,9,1,2,1,30,31
Migraine,3,26,13,3,3,2,28,24
Migraine,2,20,17,1,1,1,29,40
Migraine,1,30,12,2,3,2,28,22
Migraine,2,23,13,1,1,3,30,48
Migraine,1,24,8,3,2,2,29,22
Migraine,3,29,16,2,3,1,28,26
Cervical spondylosis,2,28,19,3,2,2,29,24
Cervical spondylosis,3,30,1,2,1,1,28,36
Cervical spondylosis,2,21,3,1,3,2,30,28
Cervical spondylosis,1,26,20,2,2,1,28,24
Cervical spondylosis,2,24,7,1,3,3,29,34
Cervical spondylosis,3,26,16,3,1,1,28,33
Cervical spondylosis,2,20,18,2,3,3,29,29
Cervical spondylosis,1,28,20,3,2,1,30,22
Cervical spondylosis,3,26,12,1,3,3,28,37
Cervical spondylosis,2,25,2,2,1,2,30,33
Paralysis (brain hemorrhage),3,22,15,3,2,3,29,31
Paralysis (brain hemorrhage),2,24,16,2,3,1,28,24
Paralysis (brain hemorrhage),3,26,14,1,1,2,29,43
Paralysis (brain hemorrhage),1,23,8,2,3,3,30,26
Paralysis (brain hemorrhage),2,21,4,3,2,2,29,24
Paralysis (brain hemorrhage),1,24,10,1,3,3,30,31
Paralysis (brain hemorrhage),3,20,19,2,2,1,29,29
Paralysis (brain hemorrhage),2,23,18,3,3,3,30,26
Paralysis (brain hemorrhage),3,29,2,1,2,2,28,34
Paralysis (brain hemorrhage),2,26,6,2,3,1,29,24
Jaundice,1,25,1,1,1,2,30,36
Jaundice,3,23,8,3,3,3,29,28
Jaundice,2,28,4,1,1,1,28,40
Jaundice,3,21,16,2,2,3,29,34
Jaundice,2,29,9,1,1,2,30,40
Jaundice,1,23,6,3,2,3,29,26
Jaundice,2,22,12,1,1,2,30,40
Jaundice,3,24,20,3,3,3,29,28
Jaundice,1,29,16,2,1,1,28,30
Jaundice,3,30,19,3,3,3,30,28
Malaria,2,22,16,1,1,2,28,95
Malaria,1,23,4,2,2,1,30,60
Malaria,3,24,1,1,3,2,28,78
Malaria,1,28,5,2,2,3,30,72
Malaria,3,27,11,1,1,2,29,95
Malaria,1,24,8,3,2,3,28,66
Malaria,3,21,10,2,1,2,29,92
Malaria,1,23,13,1,3,3,28,78
Malaria,3,26,18,3,1,1,29,84
Malaria,1,22,3,2,3,3,28,66
Chicken pox,2,23,20,1,1,2,30,40
Chicken pox,1,28,5,2,2,3,29,29
Chicken pox,2,26,4,1,1,2,30,40
Chicken pox,3,27,15,2,2,1,28,29
Chicken pox,2,30,12,1,3,3,30,34
Chicken pox,3,22,6,3,1,1,28,33
Chicken pox,2,30,8,1,2,2,29,31
Chicken pox,3,26,2,3,3,1,30,24
Chicken pox,2,21,6,2,1,2,28,33
Chicken pox,3,28,9,3,3,1,30,24
Dengue,1,27,4,2,1,2,29,84
Dengue,2,21,18,3,2,1,28,66
Dengue,1,27,20,1,1,3,29,95
Dengue,3,24,8,2,2,1,28,79
Dengue,2,21,7,3,1,3,30,95
Dengue,1,23,17,1,3,2,28,71
Dengue,3,29,20,3,1,1,30,92
Dengue,2,23,12,1,2,2,29,86
Dengue,3,29,19,2,1,1,30,95
Dengue,1,20,5,1,3,2,29,71
Typhoid,2,27,15,3,2,3,28,29
Typhoid,1,28,19,2,3,1,29,22
Typhoid,2,30,6,3,1,2,30,30
Typhoid,3,27,4,2,3,1,28,26
Typhoid,1,21,7,1,1,2,29,36
Typhoid,2,30,5,2,2,1,30,26
Typhoid,3,27,10,1,1,3,29,52
Typhoid,1,25,3,2,3,1,28,22
Typhoid,2,28,8,3,1,3,30,36
Typhoid,3,30,9,2,2,2,28,29
hepatitis A,2,21,2,3,1,3,30,36
hepatitis A,3,22,10,1,3,1,28,31
hepatitis A,1,20,8,2,2,2,30,24
hepatitis A,2,25,12,3,1,3,29,36
hepatitis A,3,23,10,1,3,1,28,31
hepatitis A,1,20,12,2,2,2,29,24
hepatitis A,3,26,9,3,3,3,28,28
hepatitis A,2,24,19,1,1,1,29,40
hepatitis A,3,29,17,2,3,2,30,26
hepatitis A,2,20,10,3,1,3,29,36
Hepatitis B,1,28,17,1,3,1,28,26
Hepatitis B,3,20,1,3,1,2,29,33
Hepatitis B,1,27,15,2,3,1,30,22
Hepatitis B,3,20,6,3,2,2,28,26
Hepatitis B,1,22,19,2,3,3,29,26
Hepatitis B,2,29,15,3,2,2,30,24
Hepatitis B,1,26,12,2,3,3,28,26
Hepatitis B,2,28,11,1,2,1,30,31
Hepatitis B,3,22,3,2,3,2,28,26
Hepatitis B,2,28,8,3,1,3,29,36
Hepatitis C,1,27,10,2,2,1,28,24
Hepatitis C,2,24,6,3,3,2,29,22
Hepatitis C,1,22,3,2,1,1,30,30
Hepatitis C,2,23,8,1,2,3,29,37
Hepatitis C,3,24,20,2,3,1,28,26
Hepatitis C,1,26,11,3,2,3,30,26
Hepatitis C,3,23,5,1,3,1,29,31
Hepatitis C,2,30,15,2,2,2,30,26
Hepatitis C,1,21,11,1,3,3,29,31
Hepatitis C,2,23,20,3,1,1,30,30
Hepatitis D,3,21,5,2,2,3,29,34
Hepatitis D,2,26,17,3,3,1,30,22
Hepatitis D,1,27,15,2,2,3,29,29
Hepatitis D,3,25,3,3,3,1,28,24
Hepatitis D,2,30,1,1,2,3,29,37
Hepatitis D,3,21,14,2,3,1,30,26
Hepatitis D,2,29,17,1,2,2,28,31
Hepatitis D,3,27,5,2,3,1,30,26
Hepatitis D,2,24,1,3,2,3,29,29
Hepatitis D,3,20,13,2,3,2,30,26
Hepatitis E,1,30,15,1,2,3,29,34
Hepatitis E,3,20,13,2,3,1,30,26
Hepatitis E,1,26,14,3,2,3,28,26
Hepatitis E,2,25,20,1,3,2,29,28
Hepatitis E,3,28,7,2,1,3,28,44
Hepatitis E,1,25,6,3,3,1,29,20
Hepatitis E,2,22,17,1,1,2,30,40
Hepatitis E,1,20,4,3,2,1,29,22
Hepatitis E,2,30,14,2,3,2,28,24
Hepatitis E,3,26,4,1,2,1,30,34
Alcoholic hepatitis,1,24,8,2,1,2,29,30
Alcoholic hepatitis,2,26,12,1,2,1,28,31
Alcoholic hepatitis,1,28,10,2,3,2,29,22
Alcoholic hepatitis,3,27,15,3,1,3,28,40
Alcoholic hepatitis,2,22,1,1,3,1,29,28
Alcoholic hepatitis,1,28,2,2,2,2,28,24
Alcoholic hepatitis,2,25,14,3,1,3,30,36
Alcoholic hepatitis,3,29,10,2,3,1,28,26
Alcoholic hepatitis,2,22,4,1,2,2,30,31
Alcoholic hepatitis,1,21,5,2,3,3,28,26
Tuberculosis,2,23,18,1,2,2,29,31
Tuberculosis,3,30,8,2,1,3,30,44
Tuberculosis,1,25,14,3,3,2,29,20
Tuberculosis,3,30,20,2,2,3,28,34
Tuberculosis,1,21,2,1,1,2,29,36
Tuberculosis,3,28,17,2,3,3,30,31
Tuberculosis,1,29,19,1,1,2,29,36
Tuberculosis,3,25,3,3,3,3,30,28
Tuberculosis,1,22,13,2,1,2,29,30
Tuberculosis,2,23,7,1,3,1,28,28
Common Cold,1,30,8,3,1,3,29,8
Common Cold,2,26,7,1,2,2,30,7
Common Cold,3,24,19,2,1,1,29,9
Common Cold,2,27,8,3,3,2,30,5
Common Cold,3,30,9,1,1,3,29,13
Common Cold,2,20,2,3,2,2,30,6
Common Cold,3,22,3,2,1,3,29,11
Common Cold,1,30,8,1,3,2,28,6
Common Cold,2,27,2,2,1,1,30,8
Common Cold,1,26,1,1,2,2,29,7
Pneumonia,3,22,16,3,1,1,30,33
Pneumonia,1,30,14,2,3,2,28,22
Pneumonia,2,23,4,1,2,3,29,37
Pneumonia,3,28,18,3,1,1,30,33
Pneumonia,1,29,16,1,2,2,29,28
Pneumonia,2,21,10,2,3,1,28,24
Pneumonia,1,22,11,1,2,2,30,28
Pneumonia,3,21,17,2,3,1,29,26
Pneumonia,1,23,5,3,1,3,28,33
Pneumonia,3,26,17,2,2,1,29,29
Dimorphic hemmorhoids(piles),1,25,12,3,3,2,30,20
Dimorphic hemmorhoids(piles),3,23,9,2,2,1,29,29
Dimorphic hemmorhoids(piles),2,22,7,1,1,3,28,48
Dimorphic hemmorhoids(piles),1,25,16,2,2,2,30,24
Dimorphic hemmorhoids(piles),3,22,20,3,1,3,28,40
Dimorphic hemmorhoids(piles),1,25,2,1,3,1,30,26
Dimorphic hemmorhoids(piles),2,20,18,3,1,3,29,36
Dimorphic hemmorhoids(piles),1,22,13,2,3,2,30,22
Dimorphic hemmorhoids(piles),2,27,11,1,2,3,29,37
Dimorphic hemmorhoids(piles),3,26,14,2,1,2,30,36
Heart attack,1,22,6,3,2,1,28,22
Heart attack,3,26,9,2,3,2,29,26
Heart attack,2,30,19,1,2,1,28,31
Heart attack,3,27,7,2,1,2,29,36
Heart attack,1,22,11,1,3,1,28,26
Heart attack,3,28,7,3,2,3,30,31
Heart attack,2,26,12,1,1,2,28,40
Heart attack,1,27,20,2,3,3,30,26
Heart attack,3,20,14,1,2,2,29,34
Heart attack,1,26,2,2,1,1,30,30
Varicose veins,2,21,18,1,3,3,29,34
Varicose veins,3,27,4,3,2,1,28,26
Varicose veins,2,20,2,1,1,3,30,48
Varicose veins,1,23,18,2,3,2,29,22
Varicose veins,3,20,16,1,1,1,30,43
Varicose veins,1,30,7,3,3,2,28,20
Varicose veins,3,21,1,1,1,3,29,52
Varicose veins,1,30,17,2,3,1,28,22
Varicose veins,3,25,9,1,1,3,30,52
Varicose veins,1,22,12,3,2,1,29,22
Hypothyroidism,2,25,7,2,1,3,30,40
Hypothyroidism,1,22,9,1,2,1,29,28
Hypothyroidism,3,29,15,2,3,3,30,31
Hypothyroidism,2,22,2,1,1,2,29,40
Hypothyroidism,1,28,6,3,3,3,28,24
Hypothyroidism,2,25,4,1,2,2,30,31
Hypothyroidism,1,27,20,2,1,1,28,30
Hypothyroidism,2,29,16,3,2,2,29,24
Hypothyroidism,3,20,13,1,3,1,30,31
Hypothyroidism,2,30,2,3,1,2,28,30
Hyperthyroidism,3,24,8,1,2,3,29,41
Hyperthyroidism,2,21,5,2,3,1,28,24
Hyperthyroidism,3,28,4,3,1,2,30,33
Hyperthyroidism,2,25,6,1,2,3,29,37
Hyperthyroidism,3,28,13,3,3,1,28,24
Hyperthyroidism,2,21,8,2,1,2,29,33
Hyperthyroidism,3,27,20,3,3,3,30,28
Hyperthyroidism,2,30,16,1,2,2,29,31
Hyperthyroidism,1,29,9,2,1,3,30,36
Hyperthyroidism,3,28,5,1,3,2,28,31
Hypoglycemia,2,25,19,2,1,1,30,33
Hypoglycemia,1,28,20,3,2,3,29,26
Hypoglycemia,2,26,9,1,1,1,28,40
Hypoglycemia,1,29,13,3,2,2,30,22
Hypoglycemia,2,21,6,1,3,1,28,28
Hypoglycemia,1,25,9,2,1,3,30,36
Hypoglycemia,2,22,7,1,2,2,28,31
Hypoglycemia,3,28,5,2,1,3,30,44
Hypoglycemia,2,30,14,1,2,2,29,31
Hypoglycemia,3,22,20,2,3,3,30,31
Osteoarthristis,2,24,1,1,2,1,28,31
Osteoarthristis,1,27,11,3,1,3,30,33
Osteoarthristis,3,21,7,1,3,2,28,31
Osteoarthristis,1,30,12,3,2,1,30,22
Osteoarthristis,3,29,5,1,3,3,28,37
Osteoarthristis,1,21,19,3,1,1,30,28
Osteoarthristis,3,20,14,1,2,2,28,34
Osteoarthristis,2,21,20,3,1,1,30,30
Osteoarthristis,3,26,10,2,3,3,28,31
Osteoarthristis,1,22,9,3,1,2,29,28
Arthritis,3,27,16,2,2,3,30,34
Arthritis,1,25,1,1,3,1,28,26
Arthritis,3,29,15,3,2,3,29,31
Arthritis,2,20,2,2,1,2,30,33
Arthritis,1,21,3,1,2,1,29,28
Arthritis,3,24,5,3,1,2,30,33
Arthritis,2,21,20,1,2,3,29,37
Arthritis,1,27,13,3,1,2,28,28
Arthritis,3,22,12,1,2,3,29,41
Arthritis,1,24,8,3,1,2,28,28
(vertigo) Paroymsal  Positional Vertigo,2,25,5,1,3,1,29,28
(vertigo) Paroymsal  Positional Vertigo,1,23,12,2,1,3,30,36
(vertigo) Paroymsal  Positional Vertigo,2,25,9,1,2,1,29,31
(vertigo) Paroymsal  Positional Vertigo,1,20,3,3,3,2,28,20
(vertigo) Paroymsal  Positional Vertigo,2,28,18,1,2,3,30,37
(vertigo) Paroymsal  Positional Vertigo,3,23,11,3,1,2,29,33
(vertigo) Paroymsal  Positional Vertigo,2,21,2,1,2,3,30,37
(vertigo) Paroymsal  Positional Vertigo,1,30,6,3,1,2,28,28
(vertigo) Paroymsal  Positional Vertigo,2,22,10,1,2,1,30,31
(vertigo) Paroymsal  Positional Vertigo,3,27,11,3,1,3,28,40
Acne,2,22,7,2,2,1,30,26
Acne,3,27,1,1,3,3,29,37
Acne,1,23,3,3,2,2,30,22
Acne,2,30,6,2,3,3,28,29
Acne,3,20,2,3,1,1,29,33
Acne,1,21,11,2,2,3,30,29
Acne,3,28,6,3,3,1,29,24
Acne,1,20,11,2,1,2,28,30
Acne,2,29,18,3,2,3,30,29
Acne,3,21,20,1,3,2,28,31
Urinary tract infection,2,28,12,3,2,3,29,29
Urinary tract infection,3,20,20,1,1,1,30,43
Urinary tract infection,1,30,14,2,3,3,29,26
Urinary tract infection,3,27,20,1,1,2,28,43
Urinary tract infection,2,26,7,2,2,3,29,31
Urinary tract infection,1,27,13,3,3,2,28,20
Urinary tract infection,2,25,14,2,2,1,29,26
Urinary tract infection,3,21,5,3,1,3,28,40
Urinary tract infection,2,25,8,1,3,1,29,28
Urinary tract infection,1,21,6,2,2,2,28,24
Psoriasis,3,23,1,3,3,1,29,24
Psoriasis,1,20,8,1,2,2,30,28
Psoriasis,2,30,5,3,1,3,28,36
Psoriasis,1,24,3,2,2,2,30,24
Psoriasis,2,23,7,3,1,3,28,36
Psoriasis,3,22,17,2,3,1,29,26
Psoriasis,2,25,12,1,1,3,28,48
Psoriasis,3,21,1,3,3,1,29,24
Psoriasis,1,24,6,1,1,3,30,43
Psoriasis,2,23,13,2,3,1,28,24
Impetigo,3,30,4,1,1,3,29,52
Impetigo,1,21,19,2,2,2,28,24
Impetigo,3,23,11,1,3,1,30,31
Impetigo,1,27,10,3,1,2,28,28
Impetigo,2,25,8,2,3,1,30,24
Impetigo,3,30,16,1,2,2,28,34
Impetigo,2,25,18,3,3,3,29,26
Impetigo,3,23,4,2,2,2,30,29
Impetigo,2,20,2,1,1,3,28,48
Impetigo,1,26,6,3,3,1,30,20
Fungal infection,3,23,3,1,2,2,28,17
Fungal infection,1,21,5,2,3,3,29,13
Fungal infection,3,28,10,3,2,2,30,13
Fungal infection,1,25,19,1,1,1,29,18
Fungal infection,2,20,10,3,2,3,28,14
Fungal infection,1,24,5,1,1,1,29,18
Fungal infection,3,20,7,2,3,3,30,15
Fungal infection,1,21,9,3,2,2,29,11
Fungal infection,2,26,3,2,3,3,30,14
Fungal infection,1,21,10,1,2,2,29,14
Allergy,3,26,19,3,3,1,30,24
Allergy,1,20,10,2,1,3,29,36
Allergy,3,27,12,3,2,1,30,26
Allergy,2,29,16,1,1,3,29,48
Allergy,1,27,9,2,3,1,30,22
Allergy,3,20,4,3,2,3,29,31
Allergy,2,21,9,1,3,1,28,28
Allergy,3,22,8,2,2,3,30,34
Allergy,1,23,9,3,1,1,28,28
Allergy,2,25,10,2,2,3,29,31
GERD,1,21,3,1,1,1,30,36
GERD,3,20,12,2,2,3,29,34
GERD,2,27,4,3,3,1,30,22
GERD,3,22,12,1,1,2,28,43
GERD,2,21,19,2,2,3,29,31
GERD,3,30,1,3,1,1,30,33
GERD,2,22,6,2,2,2,29,26
GERD,3,20,13,1,1,1,28,43
GERD,1,25,4,2,2,2,29,24
GERD,2,22,13,3,3,3,28,26
Chronic cholestasis,3,21,4,1,2,2,30,34
Chronic cholestasis,2,26,20,3,3,3,28,26
Chronic cholestasis,3,28,4,2,1,1,30,36
Chronic cholestasis,2,23,8,3,3,2,28,22
Chronic cholestasis,1,28,14,2,2,3,29,29
Chronic cholestasis,2,24,16,1,3,2,30,28
Chronic cholestasis,1,22,9,3,2,1,28,22
Chronic cholestasis,3,21,19,1,3,3,30,37
Chronic cholestasis,2,23,14,2,2,2,28,26
Chronic cholestasis,3,25,17,1,3,3,30,37
Drug Reaction,2,22,7,3,1,2,28,30
Drug Reaction,3,29,12,2,2,1,30,29
Drug Reaction,2,26,13,3,3,3,28,26
Drug Reaction,1,30,11,2,2,1,30,24
Drug Reaction,2,23,17,1,3,2,28,28
Drug Reaction,1,29,18,2,2,3,30,29
Drug Reaction,3,26,7,1,1,2,29,43
Drug Reaction,2,25,5,3,3,1,30,22
Drug Reaction,1,26,10,2,1,3,28,36
Drug Reaction,3,28,9,3,2,2,29,26
Peptic ulcer diseae,1,21,2,1,3,1,30,26
Peptic ulcer diseae,3,25,18,3,1,2,29,33
Peptic ulcer diseae,2,29,17,1,2,1,30,31
Peptic ulcer diseae,1,21,18,3,3,3,28,24
Peptic ulcer diseae,2,20,19,2,1,1,30,33
Peptic ulcer diseae,1,22,8,1,2,2,28,28
Peptic ulcer diseae,2,25,18,2,3,3,29,29
Peptic ulcer diseae,1,24,3,3,1,1,30,28
Peptic ulcer diseae,3,22,10,1,2,3,29,41
Peptic ulcer diseae,2,24,12,3,3,2,28,22
AIDS,3,27,13,2,2,3,29,34
AIDS,2,30,1,3,1,2,30,30
AIDS,3,21,2,2,2,1,29,29
AIDS,1,29,14,1,3,2,30,26
AIDS,3,30,6,2,1,3,29,44
AIDS,1,26,12,3,2,2,30,22
AIDS,3,27,5,2,1,1,29,36
AIDS,1,20,18,1,2,2,30,28
AIDS,3,27,15,2,3,3,28,31
AIDS,1,22,12,1,2,2,30,28
Diabetes ,2,30,20,3,3,1,29,22
Diabetes ,1,25,7,1,2,2,28,28
Diabetes ,2,23,9,3,3,3,30,26
Diabetes ,3,25,19,2,1,2,28,36
Diabetes ,1,22,2,1,2,1,30,28
Diabetes ,3,23,16,2,1,2,28,36
Diabetes ,2,27,12,1,2,1,30,31
Diabetes ,1,25,17,3,1,3,29,33
Diabetes ,3,29,10,2,3,2,28,26
Diabetes ,1,25,3,1,1,1,30,36
Gastroenteritis,2,27,18,3,3,2,28,22
Gastroenteritis,1,29,15,1,1,1,29,36
Gastroenteritis,2,27,16,3,3,2,28,22
Gastroenteritis,1,29,15,1,2,1,30,28
Gastroenteritis,2,24,1,2,3,2,28,24
Gastroenteritis,3,27,5,1,2,3,29,41
Gastroenteritis,2,24,17,2,3,2,30,24
Gastroenteritis,1,26,13,3,2,1,28,22
Gastroenteritis,2,27,1,1,3,3,29,34
Gastroenteritis,1,30,11,2,1,1,30,30
Bronchial Asthma,2,29,16,3,3,2,29,22
Bronchial Asthma,1,30,12,1,2,3,30,34
Bronchial Asthma,2,23,4,3,3,1,29,22
Bronchial Asthma,3,27,19,1,1,2,30,43
Bronchial Asthma,1,24,2,2,3,3,29,26
Bronchial Asthma,2,30,3,1,2,2,28,31
Bronchial Asthma,3,21,10,2,3,3,30,31
Bronchial Asthma,1,25,4,3,2,1,28,22
Bronchial Asthma,3,21,12,2,3,2,29,26
Bronchial Asthma,2,20,6,1,1,1,28,40
Hypertension ,1,26,17,2,2,3,29,29
Hypertension ,2,24,12,1,1,1,30,40
Hypertension ,1,20,16,2,2,2,28,24
Hypertension ,2,25,5,1,1,3,29,48
Hypertension ,1,26,9,2,3,2,28,22
Hypertension ,2,30,1,1,1,3,30,48
Hypertension ,1,23,8,3,3,2,29,20
Hypertension ,3,22,17,2,2,1,28,29
Hypertension ,1,25,14,3,1,2,29,28
Hypertension ,3,20,2,2,2,3,28,34
Migraine,1,24,12,1,1,1,29,36
Migraine,3,30,20,3,3,2,28,24
Migraine,1,20,17,2,1,1,29,30
Migraine,2,24,7,3,2,3,28,29
Migraine,1,29,17,2,1,2,30,30
Migraine,3,30,10,3,3,3,28,28
Migraine,1,20,18,2,2,2,29,24
Migraine,2,21,15,1,3,1,28,28
Migraine,3,29,2,3,1,2,30,33
Migraine,2,28,12,2,3,3,29,29
Cervical spondylosis,3,21,1,3,2,1,30,26
Cervical spondylosis,1,29,3,1,1,2,28,36
Cervical spondylosis,2,20,11,3,2,3,29,29
Cervical spondylosis,1,28,19,2,3,1,30,22
Cervical spondylosis,3,29,2,3,1,3,29,40
Cervical spondylosis,2,22,12,1,3,1,30,28
Cervical spondylosis,3,30,7,3,1,2,29,33
Cervical spondylosis,1,28,17,1,3,3,30,31
Cervical spondylosis,2,26,1,2,2,1,29,26
Cervical spondylosis,3,27,4,3,3,2,30,24
Paralysis (brain hemorrhage),1,26,15,1,2,3,29,34
Paralysis (brain hemorrhage),2,20,1,3,3,1,28,22
Paralysis (brain hemorrhage),1,21,4,2,2,2,30,24
Paralysis (brain hemorrhage),2,30,5,3,1,1,29,30
Paralysis (brain hemorrhage),3,27,12,1,3,2,30,31
Paralysis (brain hemorrhage),2,22,3,3,1,3,29,36
Paralysis (brain hemorrhage),1,27,8,1,2,1,28,28
Paralysis (brain hemorrhage),2,20,10,3,1,3,30,36
Paralysis (brain hemorrhage),3,24,20,1,3,2,28,31
Paralysis (brain hemorrhage),2,22,3,3,1,3,30,36
Jaundice,1,30,8,1,2,2,28,28
Jaundice,3,25,3,2,1,1,30,36
Jaundice,1,22,1,3,3,2,29,20
Jaundice,2,29,19,1,1,1,28,40
Jaundice,1,25,2,2,2,2,30,24
Jaundice,3,23,18,3,3,1,29,24
Jaundice,2,22,3,1,2,2,28,31
Jaundice,1,30,4,3,1,1,30,28
Jaundice,3,25,3,2,3,2,29,26
Jaundice,2,29,7,1,2,1,28,31
Malaria,3,25,1,3,3,3,29,72
Malaria,1,23,2,1,2,2,28,71
Malaria,2,25,17,3,3,3,30,66
Malaria,1,28,5,2,1,2,28,77
Malaria,2,30,10,3,2,3,29,72
Malaria,3,28,3,2,3,2,28,66
Malaria,2,22,6,1,1,3,29,95
Malaria,3,23,14,2,3,2,28,66
Malaria,1,24,3,3,2,3,30,66
Malaria,2,20,7,1,1,2,29,95
Chicken pox,1,21,1,3,2,1,30,22
Chicken pox,2,29,2,1,1,3,28,48
Chicken pox,3,28,7,3,3,1,30,24
Chicken pox,2,26,19,1,2,2,28,31
Chicken pox,3,28,6,2,3,3,30,31
Chicken pox,1,27,20,3,1,1,29,28
Chicken pox,3,26,17,2,3,2,28,26
